id,name,primary_wing_id,primary_hall_id,primary_room_id,tier,rationale,secondary_hall_ids,controversy_note,source_date_context
thales,Thales,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-orientation-nature,standard-individual-exhibit,"Thales is primary in Orientation, Ionia, and natural explanation because it preserves the record’s Milesian formation in Miletus; later field influence is handled through secondary lenses.",core-questions-forum,,624 BCE–546 BCE
anaximander,Anaximander,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-orientation-nature,standard-individual-exhibit,"Anaximander is primary in Orientation, Ionia, and natural explanation because it preserves the record’s Milesian formation in Miletus; later field influence is handled through secondary lenses.",core-questions-forum,,610 BCE–546 BCE
anaximenes,Anaximenes,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-orientation-nature,supporting-exhibit,"Anaximenes is primary in Orientation, Ionia, and natural explanation because it preserves the record’s Milesian formation in Miletus; later field influence is handled through secondary lenses.",core-questions-forum,,586 BCE–526 BCE
pythagoras,Pythagoras,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,standard-individual-exhibit,"Pythagoras is primary in Number, being, change, plurality, and atomism because it preserves the record’s Pythagorean formation in Samos / Croton; later field influence is handled through secondary lenses.",core-questions-forum,,570 BCE–495 BCE
philolaus,Philolaus,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,supporting-exhibit,"Philolaus is primary in Number, being, change, plurality, and atomism because it preserves the record’s Pythagorean formation in Greek world; later field influence is handled through secondary lenses.",core-questions-forum,,470 BCE–385 BCE
parmenides,Parmenides,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,standard-individual-exhibit,"Parmenides is primary in Number, being, change, plurality, and atomism because it preserves the record’s Eleatic formation in Elea; later field influence is handled through secondary lenses.",core-questions-forum,,515 BCE–450 BCE
zeno-elea,Zeno of Elea,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,standard-individual-exhibit,"Zeno of Elea is primary in Number, being, change, plurality, and atomism because it preserves the record’s Eleatic formation in Elea; later field influence is handled through secondary lenses.",core-questions-forum,,490 BCE–430 BCE
leucippus,Leucippus,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,gallery-archive-or-study-wall-record,"Leucippus is primary in Number, being, change, plurality, and atomism because it preserves the record’s Atomist formation in Greek world; later field influence is handled through secondary lenses.",core-questions-forum,,500 BCE–440 BCE
democritus,Democritus,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-being-change-plurality,standard-individual-exhibit,"Democritus is primary in Number, being, change, plurality, and atomism because it preserves the record’s Atomist formation in Abdera; later field influence is handled through secondary lenses.",core-questions-forum,,460 BCE–370 BCE
protagoras,Protagoras,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-sophists-socratic,standard-individual-exhibit,"Protagoras is primary in Sophists, civic speech, and Socratic inquiry because it preserves the record’s Sophist formation in Abdera / Athens; later field influence is handled through secondary lenses.",core-questions-forum,,490 BCE–420 BCE
gorgias,Gorgias,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-sophists-socratic,standard-individual-exhibit,"Gorgias is primary in Sophists, civic speech, and Socratic inquiry because it preserves the record’s Sophist formation in Leontini / Athens; later field influence is handled through secondary lenses.",core-questions-forum,,483 BCE–375 BCE
antisthenes,Antisthenes,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-cynic-way,supporting-exhibit,"Antisthenes is primary in the Cynic challenge as a disputed Socratic precursor to Cynic practice, not as an uncontested founder or school member.",moral-life-practical-reason,Often treated as an earliest Cynic or precursor; founder and membership claims remain disputed.,445 BCE–365 BCE
lucretius,Lucretius,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-epicurean-garden,standard-individual-exhibit,Lucretius is primary in Epicurean Garden and Roman transmission because it preserves the record’s Epicurean formation in Rome; no additional hall route is planned at current scope.,,,99 BCE–55 BCE
pyrrho,Pyrrho,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-skeptical-lineages,supporting-exhibit,Pyrrho is primary in Academic and Pyrrhonian skeptical lineages because it preserves the record’s Skeptic formation in Elis; no additional hall route is planned at current scope.,,,360 BCE–270 BCE
socrates,Socrates,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-sophists-socratic,anchor-exhibit,"Socrates is primary in Sophists, civic speech, and Socratic inquiry because it preserves the record’s Ancient Greek formation in Athens; later field influence is handled through secondary lenses.",moral-life-practical-reason,,470 BCE–399 BCE
plato,Plato,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-plato-aristotle,anchor-exhibit,"Plato is primary in Plato, Aristotle, Academy, and Lyceum because it preserves the record’s Ancient Greek formation in Athens; later field influence is handled through secondary lenses.",core-questions-forum;justice-democratic-reason;late-antiquity-inheritance,The flat source tags omit both ancient-greek and platonism; the historical Academy home corrects that asymmetry without editing production data.,428 BCE–348 BCE
aristotle,Aristotle,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-plato-aristotle,anchor-exhibit,Aristotle’s system belongs with the Lyceum; its unusually broad afterlives are represented by substantial secondary installations.,core-questions-forum;islamic-philosophical-worlds;jewish-philosophy;justice-democratic-reason;latin-christian-scholastic;moral-life-practical-reason,"Primary ancient home; later Islamic, Jewish, Latin, scientific, logical, ethical, and political receptions are secondary rather than duplicate anchors.",384 BCE–322 BCE
diogenes,Diogenes,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-cynic-way,standard-individual-exhibit,Diogenes is primary in Cynic challenge because it preserves the record’s Cynic formation in Greece; no additional hall route is planned at current scope.,,,412 BCE–323 BCE
epicurus,Epicurus,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-epicurean-garden,anchor-exhibit,Epicurus is primary in Epicurean Garden and Roman transmission because it preserves the record’s Epicurean formation in Athens; later field influence is handled through secondary lenses.,moral-life-practical-reason,,341 BCE–270 BCE
zeno,Zeno of Citium,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-stoic-stoa,anchor-exhibit,Zeno of Citium is primary in Early system and Roman Stoa because it preserves the record’s Stoic formation in Cyprus / Athens; no additional hall route is planned at current scope.,,,334 BCE–262 BCE
cleanthes,Cleanthes,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-stoic-stoa,supporting-exhibit,Cleanthes is primary in Early system and Roman Stoa because it preserves the record’s Stoic formation in Athens; no additional hall route is planned at current scope.,,,330 BCE–230 BCE
chrysippus,Chrysippus,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-stoic-stoa,standard-individual-exhibit,Chrysippus is primary in Early system and Roman Stoa because it preserves the record’s Stoic formation in Athens; later field influence is handled through secondary lenses.,core-questions-forum,,279 BCE–206 BCE
arcesilaus,Arcesilaus,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-skeptical-lineages,standard-individual-exhibit,Arcesilaus is primary in Academic and Pyrrhonian skeptical lineages because it preserves the record’s Academic Skeptic formation in Athens; later field influence is handled through secondary lenses.,core-questions-forum;mediterranean-beginnings-classical,,316 BCE–241 BCE
carneades,Carneades,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-skeptical-lineages,standard-individual-exhibit,Carneades is primary in Academic and Pyrrhonian skeptical lineages because it preserves the record’s Academic Skeptic formation in Athens; later field influence is handled through secondary lenses.,core-questions-forum;moral-life-practical-reason,,214 BCE–129 BCE
epictetus,Epictetus,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-stoic-stoa,standard-individual-exhibit,Epictetus is primary in Early system and Roman Stoa because it preserves the record’s Roman Stoic formation in Roman Empire; no additional hall route is planned at current scope.,,,50 CE–135 CE
seneca,Seneca,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-stoic-stoa,standard-individual-exhibit,Seneca is primary in Early system and Roman Stoa because it preserves the record’s Roman Stoic formation in Rome; no additional hall route is planned at current scope.,,,4 CE–65 CE
marcus-aurelius,Marcus Aurelius,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-stoic-stoa,standard-individual-exhibit,Marcus Aurelius is primary in Early system and Roman Stoa because it preserves the record’s Roman Stoic formation in Rome; no additional hall route is planned at current scope.,,,121 CE–180 CE
sextus-empiricus,Sextus Empiricus,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-skeptical-lineages,standard-individual-exhibit,Sextus Empiricus is primary in Academic and Pyrrhonian skeptical lineages because it preserves the record’s Pyrrhonian formation in Mediterranean; no additional hall route is planned at current scope.,,,160 CE–210 CE
plotinus,Plotinus,wing-mediterranean-antiquity,late-antiquity-inheritance,late-neoplatonic-systems,anchor-exhibit,Plotinus is primary in Plotinus and later pagan Platonisms because it preserves the record’s Neoplatonist formation in Roman Empire; later field influence is handled through secondary lenses.,core-questions-forum,,204 CE–270 CE
porphyry,Porphyry,wing-mediterranean-antiquity,late-antiquity-inheritance,late-neoplatonic-systems,standard-individual-exhibit,Porphyry is primary in Plotinus and later pagan Platonisms because it preserves the record’s Neoplatonist formation in Tyre / Rome; later field influence is handled through secondary lenses.,core-questions-forum,,234 CE–305 CE
iamblichus,Iamblichus,wing-mediterranean-antiquity,late-antiquity-inheritance,late-neoplatonic-systems,standard-individual-exhibit,Iamblichus is primary in Plotinus and later pagan Platonisms because it preserves the record’s Neoplatonist formation in Syria; later field influence is handled through secondary lenses.,core-questions-forum,,245 CE–325 CE
proclus,Proclus,wing-mediterranean-antiquity,late-antiquity-inheritance,late-neoplatonic-systems,standard-individual-exhibit,Proclus is primary in Plotinus and later pagan Platonisms because it preserves the record’s Neoplatonist formation in Athens; later field influence is handled through secondary lenses.,core-questions-forum,,412 CE–485 CE
confucius,Confucius,wing-east-asian-worlds,classical-chinese-traditions,china-confucian-cultivation,anchor-exhibit,"Confucius is primary in Ritual, humaneness, cultivation, and human nature because it preserves the record’s Confucian formation in China; later field influence is handled through secondary lenses.",moral-life-practical-reason,,traditional 551-479 BCE
laozi,Laozi,wing-east-asian-worlds,classical-chinese-traditions,china-daoist-way,thematic-cluster-participant,"Laozi is primary in Daodejing, Zhuangzi, and the Way because it preserves the record’s Daoist formation in China; the Forum route compares questions of way, action, and order without turning an attributed textual persona into a secure biography.",core-questions-forum,"Treat as an attributed textual persona associated with a composite text, not a securely dated conventional biography.",legendary; traditionally 6th century BCE
zhuangzi,Zhuangzi,wing-east-asian-worlds,classical-chinese-traditions,china-daoist-way,anchor-exhibit,"Zhuangzi is primary in Daodejing, Zhuangzi, and the Way because it preserves the record’s Daoist formation in China; the Forum route supports bounded comparisons about knowledge, language, transformation, and how to live.",core-questions-forum,,c. 369-286 BCE
mencius,Mencius,wing-east-asian-worlds,classical-chinese-traditions,china-confucian-cultivation,standard-individual-exhibit,"Mencius is primary in Ritual, humaneness, cultivation, and human nature because it preserves the record’s Confucian formation in China; later field influence is handled through secondary lenses.",moral-life-practical-reason,,c. 372-289 BCE
xunzi,Xunzi,wing-east-asian-worlds,classical-chinese-traditions,china-confucian-cultivation,standard-individual-exhibit,"Xunzi is primary in Ritual, humaneness, cultivation, and human nature because it preserves the record’s Confucian formation in China; later field influence is handled through secondary lenses.",moral-life-practical-reason,,c. 310-235 BCE
buddha,Siddhartha Gautama / the Buddha,wing-buddhist-worlds,buddhist-philosophies,buddhist-many-paths,anchor-exhibit,Siddhartha Gautama / the Buddha is primary in Many Buddhist paths and early discourses because it preserves the record’s Buddhist formation in South Asia; later field influence is handled through secondary lenses.,classical-south-asian-worlds,Use an approximate fifth-century BCE frame and communal textual transmission rather than exact life dates.,c. 5th century BCE; dates disputed
nagarjuna,Nagarjuna,wing-buddhist-worlds,buddhist-philosophies,buddhist-madhyamaka,anchor-exhibit,Nagarjuna is primary in Madhyamaka: emptiness and dependence because it preserves the record’s Madhyamaka Buddhist formation in India; later field influence is handled through secondary lenses.,core-questions-forum,,c. 150-250 CE
vasubandhu,Vasubandhu,wing-buddhist-worlds,buddhist-philosophies,buddhist-abhidharma-yogacara,standard-individual-exhibit,Vasubandhu is primary in Abhidharma to Yogacara because it preserves the record’s Buddhist formation in India; later field influence is handled through secondary lenses.,core-questions-forum,,c. 4th-5th century CE
shankara,Adi Shankara,wing-south-asian-worlds,classical-south-asian-worlds,south-vedanta-rival-readings,anchor-exhibit,"Adi Shankara is primary in Vedānta: rival readings of self, world, and Brahman because it preserves the record’s Advaita Vedanta formation in India; later field influence is handled through secondary lenses.",core-questions-forum,,traditionally 788-820 CE; chronology debated
ramanuja,Ramanuja,wing-south-asian-worlds,classical-south-asian-worlds,south-vedanta-rival-readings,standard-individual-exhibit,"Ramanuja is primary in Vedānta: rival readings of self, world, and Brahman because it preserves the record’s Vishishtadvaita formation in India; later field influence is handled through secondary lenses.",core-questions-forum,,c. 1017-1137 CE
al-kindi,Al-Kindi,wing-medieval-connected-worlds,islamic-philosophical-worlds,islamic-translation-falsafa,standard-individual-exhibit,Al-Kindi is primary in Translation-era falsafa and classification of knowledge because it preserves the record’s Islamic formation in Baghdad; no additional hall route is planned at current scope.,,,801 CE–873 CE
al-farabi,Al-Farabi,wing-medieval-connected-worlds,islamic-philosophical-worlds,islamic-translation-falsafa,standard-individual-exhibit,Al-Farabi is primary in Translation-era falsafa and classification of knowledge because it preserves the record’s Islamic formation in Central Asia / Baghdad; later field influence is handled through secondary lenses.,justice-democratic-reason,,872 CE–950 CE
avicenna,Ibn Sina / Avicenna,wing-medieval-connected-worlds,islamic-philosophical-worlds,islamic-avicennan-system,anchor-exhibit,"Ibn Sina / Avicenna is primary in Avicennian system: being, soul, logic, and science because it preserves the record’s Islamic formation in Persia; later field influence is handled through secondary lenses.",core-questions-forum;jewish-philosophy;latin-christian-scholastic,,980 CE–1037 CE
al-ghazali,Al-Ghazali,wing-medieval-connected-worlds,islamic-philosophical-worlds,islamic-kalam-critique,anchor-exhibit,"Al-Ghazali is primary in Kalām, critique, and philosophical appropriation because it preserves the record’s Islamic formation in Persia; later field influence is handled through secondary lenses.",core-questions-forum,,1058 CE–1111 CE
averroes,Ibn Rushd / Averroes,wing-medieval-connected-worlds,islamic-philosophical-worlds,islamic-andalusian-worlds,anchor-exhibit,"Ibn Rushd / Averroes is primary in Al-Andalus: philosophy, law, medicine, and commentary because it preserves the record’s Islamic formation in Andalusia; later field influence is handled through secondary lenses.",jewish-philosophy;latin-christian-scholastic,,1126 CE–1198 CE
augustine,Augustine,wing-mediterranean-antiquity,late-antiquity-inheritance,late-christian-platonisms,anchor-exhibit,Augustine is primary in Christian transformations of Platonism because it preserves the record’s Christian formation in North Africa; later field influence is handled through secondary lenses.,core-questions-forum,,354 CE–430 CE
boethius,Boethius,wing-medieval-connected-worlds,latin-christian-scholastic,latin-transmission-carolingian,standard-individual-exhibit,Boethius is primary in Late-antique transmission and Carolingian reception because it preserves the record’s Roman formation and Latin transmission role; the Late Antiquity route makes his threshold position visible without recasting him as a later scholastic.,late-antiquity-inheritance,"Late-antique intermediary and transmission figure, not straightforwardly a medieval scholastic member.",477 CE–524 CE
anselm,Anselm,wing-medieval-connected-worlds,latin-christian-scholastic,latin-dialectic-early-scholastic,standard-individual-exhibit,"Anselm is primary in Monastic reason, dialectic, and early scholastic practice because it preserves the record’s Scholastic formation in Europe; later field influence is handled through secondary lenses.",core-questions-forum,,1033 CE–1109 CE
maimonides,Maimonides,wing-medieval-connected-worlds,jewish-philosophy,jewish-maimonidean-crossroads,anchor-exhibit,"Maimonides is primary in Maimonides: law, negative theology, and Aristotelian argument because it preserves the record’s Jewish formation in Andalusia / Egypt; later field influence is handled through secondary lenses.",core-questions-forum;islamic-philosophical-worlds;latin-christian-scholastic,,1138 CE–1204 CE
aquinas,Thomas Aquinas,wing-medieval-connected-worlds,latin-christian-scholastic,latin-high-scholastic,anchor-exhibit,Thomas Aquinas is primary in High university synthesis and contest because it preserves the record’s Scholastic formation in Italy; later field influence is handled through secondary lenses.,core-questions-forum,,1225 CE–1274 CE
duns-scotus,Duns Scotus,wing-medieval-connected-worlds,latin-christian-scholastic,latin-late-debates,standard-individual-exhibit,"Duns Scotus is primary in Late scholastic alternatives, mysticism, and political conflict because it preserves the record’s Scholastic formation in Scotland / Europe; no additional hall route is planned at current scope.",,,1266 CE–1308 CE
ockham,William of Ockham,wing-medieval-connected-worlds,latin-christian-scholastic,latin-late-debates,standard-individual-exhibit,"William of Ockham is primary in Late scholastic alternatives, mysticism, and political conflict because it preserves the record’s Scholastic formation in England; later field influence is handled through secondary lenses.",core-questions-forum,,1287 CE–1347 CE
machiavelli,Machiavelli,wing-early-modern-enlightenment,renaissance-humanism-new-method,early-statecraft-republic,anchor-exhibit,Machiavelli is primary in Civic power and statecraft because it preserves the record’s Renaissance formation in Florence; later field influence is handled through secondary lenses.,justice-democratic-reason,,1469 CE–1527 CE
bacon,Francis Bacon,wing-early-modern-enlightenment,renaissance-humanism-new-method,early-experiment-method,standard-individual-exhibit,"Francis Bacon is primary in Experiment, method, and organized inquiry because it preserves the record’s Early modern formation in England; later field influence is handled through secondary lenses.",core-questions-forum;empiricism-science-political-order,,1561 CE–1626 CE
descartes,Descartes,wing-early-modern-enlightenment,rationalism-mind-nature-system,rationalism-cartesian-foundations,anchor-exhibit,Descartes is primary in Cartesian foundations and dualism because it preserves the record’s Rationalist formation in France; later field influence is handled through secondary lenses.,core-questions-forum,,1596 CE–1650 CE
hobbes,Hobbes,wing-early-modern-enlightenment,renaissance-humanism-new-method,early-sovereignty-materialism,standard-individual-exhibit,"Hobbes is primary in Sovereignty, covenant, and materialism because it preserves the record’s Early modern formation in England; later field influence is handled through secondary lenses.",justice-democratic-reason,,1588 CE–1679 CE
spinoza,Spinoza,wing-early-modern-enlightenment,rationalism-mind-nature-system,rationalism-spinoza-conway,anchor-exhibit,"Spinoza is primary in Substance, vitality, God/Nature, and freedom because it preserves the record’s Rationalist formation in Netherlands; later field influence is handled through secondary lenses.",core-questions-forum;jewish-philosophy,"Rationalism remains primary; the Jewish-hall threshold treats Amsterdam formation, scripture criticism, and rupture without claiming simple membership.",1632 CE–1677 CE
leibniz,Leibniz,wing-early-modern-enlightenment,rationalism-mind-nature-system,rationalism-leibniz-system,standard-individual-exhibit,"Leibniz is primary in Monads, sufficient reason, and possible worlds because it preserves the record’s Rationalist formation in Germany; later field influence is handled through secondary lenses.",core-questions-forum,,1646 CE–1716 CE
locke,Locke,wing-early-modern-enlightenment,empiricism-science-political-order,empiricism-locke-ideas-rights,anchor-exhibit,"Locke is primary in Ideas, experience, identity, and rights because it preserves the record’s Empiricist formation in England; later field influence is handled through secondary lenses.",justice-democratic-reason,,1632 CE–1704 CE
berkeley,Berkeley,wing-early-modern-enlightenment,empiricism-science-political-order,empiricism-berkeley-perception,standard-individual-exhibit,Berkeley is primary in Perception and immaterialism because it preserves the record’s Empiricist formation in Ireland; later field influence is handled through secondary lenses.,core-questions-forum,,1685 CE–1753 CE
hume,Hume,wing-early-modern-enlightenment,empiricism-science-political-order,empiricism-hume-skepticism,anchor-exhibit,"Hume is primary in Causation, habit, sentiment, and mitigated skepticism because it preserves the record’s Empiricist formation in Scotland; later field influence is handled through secondary lenses.",core-questions-forum,,1711 CE–1776 CE
rousseau,Rousseau,wing-early-modern-enlightenment,enlightenment-revolution-kant,enlightenment-society-freedom,anchor-exhibit,"Rousseau is primary in Inequality, civic freedom, and education because it preserves the record’s Enlightenment formation in Geneva / France; later field influence is handled through secondary lenses.",justice-democratic-reason,,1712 CE–1778 CE
bentham,Jeremy Bentham,wing-nineteenth-transformations,utility-liberty-history-capital,nineteenth-utilitarian-reform,standard-individual-exhibit,"Jeremy Bentham is primary in Utility, law, reform, and individuality because it preserves the record’s Utilitarian formation in England; later field influence is handled through secondary lenses.",justice-democratic-reason;moral-life-practical-reason,,1748 CE–1832 CE
kant,Kant,wing-early-modern-enlightenment,enlightenment-revolution-kant,enlightenment-kant-critical,anchor-exhibit,Kant’s critical project answers the late-Enlightenment rationalism/empiricism crisis and forms the hinge to later fields and German Idealism.,core-questions-forum;german-idealism-afterlives;justice-democratic-reason;moral-life-practical-reason,Late-Enlightenment primary; German Idealism remains a successor route because current accuracy metadata marks Kant as precursor.,1724 CE–1804 CE
fichte,Fichte,wing-nineteenth-transformations,german-idealism-afterlives,german-idealism-orientation,standard-individual-exhibit,"Fichte is primary in Post-Kantian self, activity, and freedom because it preserves the record’s German Idealist formation in Germany; no additional hall route is planned at current scope.",,,1762 CE–1814 CE
schelling,Schelling,wing-nineteenth-transformations,german-idealism-afterlives,german-idealism-nature,standard-individual-exhibit,"Schelling is primary in Nature, identity, art, and freedom because it preserves the record’s German Idealist formation in Germany; no additional hall route is planned at current scope.",,,1775 CE–1854 CE
hegel,Hegel,wing-nineteenth-transformations,german-idealism-afterlives,german-idealism-hegel,anchor-exhibit,"Hegel is primary in History, recognition, social freedom, and system because it preserves the record’s German Idealist formation in Germany; later field influence is handled through secondary lenses.",critique-power-deconstruction,,1770 CE–1831 CE
schopenhauer,Schopenhauer,wing-nineteenth-transformations,faith-pessimism-life-value,nineteenth-will-pessimism,standard-individual-exhibit,"Schopenhauer is primary in Will, representation, suffering, and reception because it preserves the record’s Nineteenth century formation in Germany; later field influence is handled through secondary lenses.",buddhist-philosophies;classical-south-asian-worlds;core-questions-forum,,1788 CE–1860 CE
kierkegaard,Kierkegaard,wing-nineteenth-transformations,faith-pessimism-life-value,nineteenth-faith-subjectivity,standard-individual-exhibit,"Kierkegaard is primary among nineteenth-century faith, anxiety, and selfhood debates as a major precursor to later Existentialism, not a retrospective member.",core-questions-forum;phenomenology-existence-embodiment,Existentialism is a later reception route; current accuracy metadata marks Kierkegaard as a precursor.,1813 CE–1855 CE
marx,Marx,wing-nineteenth-transformations,utility-liberty-history-capital,nineteenth-labor-capital,anchor-exhibit,"Marx is primary in Labor, capital, class, and historical critique because it preserves the record’s Critical formation in Germany / England; later field influence is handled through secondary lenses.",critique-power-deconstruction;justice-democratic-reason,,1818 CE–1883 CE
